ProductID,ProductName,Description,Price,Inventory,ProductImage,CategoryID
1,"Treat Tumble","Interactive treat-dispensing toy that boosts your dog’s brainpower and motor skills—great for indoor or outdoor fun.",500,50,1.png,1
2,"Treat Maze","Tap-and-flip puzzle toy that challenges your dog’s mind while rewarding with treats—perfect for dogs of all ages and sizes.",700,20,2.png,1
3,"Carrot Plush","Soft plush carrot toy with squeaker – perfect for comfort, play, and easing anxiety in dogs of all sizes.",83,9,3.png,1
4,"Squeaky Ball","Soft, bouncy ball that squeaks when bitten—perfect for fun fetch games and playtime.",109,0,4.png,1
5,"Spike Kawaii Plush Scrabble Dog Toy","Soft and gentle on teeth, made with tear-resistant fabric and easy-to-clean materials. Adorably realistic design.",370,0,5.png,1
6,"Nina Ottosson Smart Puzzle","Fun and interactive treat game that keeps dogs entertained and fights boredom. Great for beginners, easy to clean, and perfect for teaching problem-solving skills.",799,0,6.png,1
7,"Doggo Dog Toy Rope Ball Medium Blue","Sturdy rope ball made of thick fiber for endless tug and chew fun. Durable, medium-sized, and paw-fectly crafted in blue!",189,0,7.png,1
8,"Approved Plush Dog Toy White","Soft, washable plush toy that keeps your pet safe and clean—perfect for gentle play and bonding moments. Not suited for aggressive chewers.",270,0,8.png,1
9,"Approved Plush Paw Shape Dog Toy","Squeaky plush toy made from washable polyester and soft PP cotton—available in blue, green, and yellow. Great for playful bonding, but not for aggressive chewers.

",170,0,9.png,1
10,"Approved Plush Green Monster with Star Dog Toy","Plush Green Monster Dog Toy with a squeaky star—made from safe, non-toxic, bite-resistant material. Fun, soft, and perfect for keeping dogs entertained and calm.",289,0,10.png,1
11,"Silicone Flying Saucer ","Durable silicone flying disc that's gentle on your dog’s mouth—perfect for fetch, easy to clean, and fun for active play.",98,0,11.png,1
12,"Approved Plush Fish Bone Dog Toy","Soft and fun squeaky toys made from washable polyester material, filled with PP cotton. These toys are designed for interactive play and bonding with your pet. Not suitable for aggressive chewers.",130,0,12.png,1
13,"Power Chew Donut Chew Toy","An a-dough-rable spin on a classic dessert, this Power Chew donut dog toy combines sweet personality with savory flavor. It features sprinkle-like textures to help clean teeth and is made from durable material that stands up to aggressive chewers. Promotes healthy, non-destructive chewing habits and is veterinarian-recommended for power chewers.",520,0,13.png,1
14,"Pink Cotton Rope Bone with Tennis Ball","The Dogit Cotton Rope Bone with Tennis Ball offers fun and exercise while supporting your dog’s dental health. As your dog chews, the cotton fibers help clean teeth and gums. Made from natural, biodegradable materials and machine washable for easy cleaning.",279,0,14.png,1
15,"Fried Chicken Plush Dog Toy","This giggly drumstick toy shakes up playtime with fun sounds and crinkles or a squeaker! Made with double-stitched edges, eco-friendly filler, and AZO-free dyes. Machine washable. Not for chewing.",229,0,15.png,1
16,"Bone Plush Toy","Soft and playful, this fabric toy encourages your dog to stay active with its fun shape and interactive design—perfect for fetch and bonding play.",150,0,16.png,1
17,"Approved Plush Blue Monster Dog Toy","Soft plush monster toy with adorable facial expressions and flexible, cuddly fabric.
Made with high-quality materials for safe play and comfort.
Great for fetch, snuggles, or as a bedtime buddy.",329,0,17.png,1
18,"Approved Plush Navy Blue Monster Dog Toy","Durable plush monster toy made from safe, non-toxic materials.
Squeaky feature keeps dogs engaged and helps release excess energy.
Soft, easy to clean, and designed to protect furniture from boredom-related chewing.








",289,0,18.png,1
19,"Robust sling ball","Durable rope ball made of premium natural rubber, safe and non-toxic.
Perfect for long throws, interactive play, training, and snack-filling.
Encourages exercise, relieves boredom, and supports healthy chewing habits.",169,0,19.png,1
20,"Absorbine Silver Honey Rapid Wound","Powerful, fast-acting ointment made with medical-grade, natural ingredients.
pH-balanced, antibiotic-free formula promotes healing without disrupting skin.
Ideal for treating cuts, wounds, rashes, bites, and various skin irritations.",899,0,20.png,2
21,"Vitamin D for Dogs","Vitamin D supplement for dogs, enriched with Calcium, Magnesium, and Zinc.
Supports strong teeth, bones, and muscles while promoting healthy mineral metabolism.
Boosts immune function with 120 chewable tablets for easy daily use.",429,0,21.png,2
22,"LC Vit Multivitamins Syrup","Multivitamins for dogs, cats, rabbits, hamsters, and chinchillas.
Prevents and treats vitamin deficiencies, improving appetite and overall health.
Supports your pet's well-being with a comprehensive blend of essential vitamins.",205,0,22.png,2
23,"Biogance DentiFresh Oral care","The Trixie Dental Hygiene Set includes toothpaste, a finger toothbrush, and a two-sided brush for effective dental care. It helps clean teeth and gums, promoting overall oral health for dogs.",475,0,23.png,2
24,"Soft Chew Treats with Pumpkin","Glandex Advanced Strength Soft Chews support your dog's anal glands and digestive health with natural ingredients like MegaFiber Blend, Digestive Enzymes, and Probiotics. These chews promote healthy function and firm stools, with a tasty duck and bacon flavor. Recommended by veterinarians for chronic anal gland issues.",699,0,24.png,2
25,"Wild Alaskan Salmon Oil for Dogs","Zesty Paws Wild Alaskan Salmon Oil is a liquid supplement for pets, rich in Omega-3 and Omega-6 fatty acids. It supports skin, coat, joints, heart, and immune health. Easy to mix with food, it's made in the USA with high-quality, safe ingredients.",799,0,25.png,2
26,"CANINE SCIENCE Probiotics Meal Topper for Dogs ","Canine Science Probiotic Meal Topper for Dogs helps balance gut bacteria, preventing itching, diarrhea, and harmful bacteria buildup. Packed with probiotics, it supports digestion, prevents skin issues, and addresses Small Intestinal Bacterial Overgrowth (SIBO), promoting overall digestive health and comfort.








",499,0,26.png,2
27,"Zesty Paws Digestive Health Probiotic Bites for Dogs ","Zesty Paws Probiotic Bites support your dog's digestive health with a blend of Prebiotics, Probiotics, and Enzymes. They promote stomach comfort, aid nutrient absorption, and support immune health with 3 billion CFU of healthy bacteria in each chicken-flavored soft chew. Available in a 90-count pack.",899,0,27.png,2
28,"Pest Buster 300ml ","Pest Buster is a powerful, non-toxic pest control solution that eliminates common household pests like cockroaches, ants, and spiders. It provides long-lasting protection, keeping your home pest-free for weeks. Safe for pets and children, it’s easy to apply with no odor or residue, leaving your home fresh and clean.",263,0,28.png,2
29,"Happy Pet Multivitamins and Amino Acids","Happy Pet Vitamino 100ml is a supplement for dogs and cats that supports healthy growth, muscle development, and coat condition. It strengthens the immune system, boosts metabolism, and promotes digestive functions for overall pet wellness.",199,0,29.png,2
30,"Nutrimax Nutritional Paste Vitalplus for Healthy Immune Systems","Nutrimax Vitalplus is a 30ml nutritional paste for cats and dogs that boosts immune health, promotes healthy growth, and improves overall well-being. It enhances appetite, reduces viral shedding, and helps reduce stress from environmental changes.",299,0,30.png,2
31,"Tropiclean Oxymed Pet Ear Cleanser ","A fast-acting, gentle formula to reduce odor, buildup, and irritation, promoting ear hygiene and preventing infections. Made in the USA with vet-recommended ingredients.",450,0,31.png,2
32,"PetArmor® Ear Mite & Tick Treatment for Dogs","Provides fast relief from itching caused by ear mites and ticks. Formulated with aloe to soothe irritation and support healing.",259,0,32.png,2
33,"Canine Science Dental Care Water Additive","Freshens breath, fights plaque, and supports gum health with every sip. Easy to use—just add to your dog’s water daily. Safe, tasteless, and perfect for dogs of all sizes.",549,0,33.png,2
34,"Pet Logic Probiotic Digestive Health Beef Pet Supplement","Supports digestion, nutrient absorption, and immunity. Helps maintain gut balance with daily tasty chews. Easy feeding by weight—just store in a cool, dry place.",269,0,34.png,2
35,"Melatonin Calming Bites Turkey Flavored","Calming chews with Suntheanine and Ashwagandha help reduce stress, nervousness, and hyperactivity in dogs, promoting relaxation and focus with natural ingredients.",599,0,35.png,2
36,"Fera Multivitamin Goat Milk Topper","The Goat Milk Multivitamin formula features essential vitamins and minerals plus probiotics—all designed to meet your pet’s nutritional needs.",699,0,36.png,2
37,"Probiotic Digestive Health Beef Pet Supplement","Supports healthy digestion, replenishes good bacteria, and boosts immunity in dogs.",299,0,37.png,2
38,"Allergy & Immune Bites - Peanut Butter Flavor","Specially formulated to support immune function and help fido with seasonal foes, with human-grade Epicor and other ingredients, and a delicious peanut butter flavor fido will love!",499,0,38.png,2
39,"Doggo Bathing Pet Brush","Massaging effect, ergonomic non-slip handle, and made from high-quality materials.",319,0,39.png,3
40,"Wahl Doggie Deodorant ","Cornflower & aloe plant derived pet deodorant : Deodorant is made of plant-derived materials which are safe to use for your pet. Even the color of the deodorant comes from plant substances.",500,0,40.png,3
41,"Professional Cord/Cordless Clipper for Dogs"," Equipped with a robust 6000rpm rotary motor and stainless steel taper blade, achieve immaculate cuts with ease. ",999,0,41.png,3
42,"Saint Roche Premium Heaven Scent ","Infused with herbal extracts to prevent tangles and mats, promotes a shiny, healthy coat with consistent use.",329,0,42.png,3
43,"Baby Boo Male Wrap ","Comfortable male diapers with 360° leak protection, secure fit, soft materials, strong Velcro tabs, and advanced leak-proof tech for all-day dryness and ease.",189,0,43.png,3
44,"Pet Nail Cutter","Scissors-type trimmer ideal for long, curled nails—especially dew claws that don’t wear down naturally and can grow into the toe-pad.",105,0,44.png,3
45,"Microplush Fleece Polyester Dog Blanket","Lightweight flannel fleece blanket that’s cozy year-round, protects furniture, and helps your pet rest better—machine-washable for easy cleaning.",399,0,45.png,3
46,"Pet Training Pad","Absorbent, leak-proof training pad designed for hassle-free potty training and easy cleanup.",190,0,46.png,3
47,"P for PET Wipe ME","100% biodegradable grooming wipes with purified water and anti-bacterial formula—cleans, deodorizes, and helps protect against fleas and ticks while maintaining skin pH balance.",159,0,47.png,3
48,"Doggo Slicker Pet Brush","Easy-to-clean slicker brush with ergonomic non-slip handle, suitable for all hair types.
",319,0,48.png,3
49,"Happiness Scent Dog Shampoo","Premium organic dog shampoo with a Happiness scent, featuring Moringa, Oatmeal, Eucalyptus, and Aloe Vera. Hypoallergenic, removes ticks, mites, fleas, and odor—SLES and paraben-free.",179,0,49.png,3
50,"Premium Heaven Scent Dog Shampoo","Premium organic dog shampoo with a Heaven scent, featuring Moringa, Oatmeal, Eucalyptus, and Aloe Vera. Hypoallergenic, removes ticks, mites, fleas, and odor—SLES and paraben-free.",179,0,50.png,3
